,fantasy_pts,fg_made,fg_missed,opponent,pass_att,pass_tds,pass_yds,player_id,player_name,player_team,position,rec_recs,rec_tds,rec_yds,result,rush_att,rush_tds,rush_yds,turnovers,twoptm,week,xp_made,year
9106,8.0,0,0,NE,32,0,259,00-0005106,B.Favre,MIN,,0,0,0,False,0,0,0,1,0,8,0,2010
9107,0.0,0,0,NE,0,0,0,00-0023060,C.Kluwe,MIN,,0,0,0,False,0,0,0,0,0,8,0,2010
9108,3.0,0,0,MIN,0,0,0,00-0027713,A.Hernandez,NE,,2,0,33,True,0,0,0,0,0,8,0,2010
9109,12.0,0,0,NE,0,0,0,00-0026998,P.Harvin,MIN,WR,6,0,104,False,0,0,0,0,1,8,0,2010
9110,6.0,0,0,NE,0,0,0,00-0027888,T.Gerhart,MIN,RB,5,0,67,False,2,0,0,0,0,8,0,2010
9111,1.0,0,0,NE,0,0,0,00-0022807,B.Berrian,MIN,,2,0,15,False,0,0,0,0,0,8,0,2010
9112,0.0,0,0,MIN,0,0,0,00-0025821,G.Guyton,NE,,0,0,0,True,0,0,0,0,0,8,0,2010
9113,2.0,0,0,MIN,0,0,0,00-0021192,D.Branch,NE,,1,0,21,True,0,0,0,0,0,8,0,2010
9114,4.0,0,0,MIN,0,0,0,00-0024333,S.Gostkowski,NE,K,0,0,0,True,0,0,0,0,0,8,4,2010
9115,3.0,0,0,NE,0,0,0,00-0022054,V.Shiancoe,MIN,,4,0,38,False,0,0,0,0,0,8,0,2010
9116,0.0,0,0,NE,0,0,0,00-0009323,J.Kleinsasser,MIN,,0,0,0,False,0,0,0,0,0,8,0,2010
9117,0.0,0,0,MIN,0,0,0,00-0027656,R.Gronkowski,NE,TE,1,0,5,True,0,0,0,0,0,8,0,2010
9118,0.0,0,0,NE,0,0,0,00-0023408,G.Camarillo,MIN,,0,0,0,False,0,0,0,0,0,8,0,2010
9119,0.0,0,0,NE,0,0,0,00-0011754,R.Moss,MIN,,1,0,8,False,0,0,0,0,0,8,0,2010
9120,0.0,0,0,NE,0,0,0,00-0021508,G.Lewis,MIN,,1,0,4,False,0,0,0,0,0,8,0,2010
9121,0.0,0,0,NE,0,0,0,00-0027030,P.Loadholt,MIN,T,0,0,0,False,0,0,0,0,0,8,0,2010
9122,0.0,0,0,MIN,0,0,0,00-0027150,J.Edelman,NE,WR,0,0,0,True,0,0,0,0,0,8,0,2010
9123,10.0,0,0,NE,6,1,36,00-0024279,T.Jackson,MIN,QB,0,0,0,False,1,0,33,0,1,8,0,2010
9124,0.0,0,0,MIN,0,0,0,00-0027034,S.Vollmer,NE,T,0,0,0,True,0,0,0,0,0,8,0,2010
9125,0.0,0,0,ARI,0,0,0,00-0026138,C.Barth,TB,,0,0,0,True,0,0,0,0,0,8,0,2010
9126,12.0,0,0,TB,0,0,0,00-0027007,C.Wells,ARI,,1,0,14,False,16,1,50,0,0,8,0,2010
9127,1.0,0,0,TB,16,1,71,00-0027347,M.Hall,ARI,,0,0,0,False,1,0,-5,2,0,8,0,2010
9128,0.0,0,0,TB,0,0,0,00-0023108,S.Spach,ARI,,1,0,3,False,0,0,0,0,0,8,0,2010
9129,0.0,0,0,ARI,0,0,0,00-0026906,K.Moore,TB,,0,0,0,True,0,0,0,0,0,8,0,2010
9130,0.0,0,0,TB,0,0,0,00-0022954,B.Graham,ARI,,0,0,0,False,0,0,0,0,0,8,0,2010
9131,3.0,0,0,ARI,0,0,0,00-0023440,C.Williams,TB,,3,0,26,True,4,0,10,0,0,8,0,2010
9132,17.0,0,0,ARI,25,1,278,00-0026993,J.Freeman,TB,QB,0,0,0,True,2,0,22,0,0,8,0,2010
9133,16.0,0,0,ARI,0,0,0,00-0027702,M.Williams,TB,WR,4,1,105,True,0,0,0,0,0,8,0,2010
9134,0.0,0,0,ARI,0,0,0,00-0027509,R.Malone,TB,,0,0,0,True,0,0,0,0,0,8,0,2010
9135,15.0,0,0,TB,0,0,0,00-0025529,S.Breaston,ARI,,8,0,147,False,1,0,14,0,0,8,0,2010
9136,5.0,0,0,TB,0,0,0,00-0019770,J.Feely,ARI,K,0,0,0,False,0,0,0,0,0,8,5,2010
9137,0.0,0,0,ARI,0,0,0,00-0027844,E.Lorig,TB,FB,0,0,0,True,0,0,0,0,0,8,0,2010
9138,1.0,0,0,ARI,0,0,0,00-0021304,J.Gilmore,TB,,1,0,11,True,0,0,0,0,0,8,0,2010
9139,0.0,0,0,TB,0,0,0,00-0027691,A.Roberts,ARI,WR,0,0,0,False,0,0,0,0,0,8,0,2010
9140,22.0,0,0,ARI,0,0,0,00-0027325,L.Blount,TB,RB,2,0,9,True,22,2,120,1,0,8,0,2010
9141,5.0,0,0,ARI,0,0,0,00-0027654,A.Benn,TB,WR,1,0,53,True,1,0,0,0,0,8,0,2010
9142,1.0,0,0,TB,0,0,0,00-0022288,J.Wright,ARI,,3,0,19,False,0,0,0,0,0,8,0,2010
9143,9.0,0,0,TB,24,1,234,00-0023645,D.Anderson,ARI,QB,0,0,0,False,0,0,0,2,0,8,0,2010
9144,0.0,0,0,ARI,0,0,0,00-0021755,E.Graham,TB,,1,0,2,True,1,0,2,0,0,8,0,2010
9145,0.0,0,0,ARI,0,0,0,00-0022922,K.Winslow,TB,TE,1,0,5,True,0,0,0,0,0,8,0,2010
9146,0.0,0,0,ARI,0,0,0,00-0024305,M.Stovall,TB,,1,0,2,True,0,0,0,0,0,8,0,2010
9147,0.0,0,0,ARI,0,0,0,00-0026080,J.Lee,TB,,0,0,0,True,0,0,0,0,0,8,0,2010
9148,0.0,0,0,TB,0,0,0,00-0025602,B.Patrick,ARI,,0,0,0,False,0,0,0,0,0,8,0,2010
9149,3.0,0,0,TB,0,0,0,00-0026221,E.Doucet,ARI,,4,0,39,False,0,0,0,0,0,8,0,2010
9150,0.0,0,0,ARI,0,0,0,00-0026804,R.Purvis,TB,,1,0,5,True,0,0,0,0,0,8,0,2010
9151,1.0,0,0,TB,0,0,0,00-0026289,T.Hightower,ARI,,1,0,11,False,1,0,0,0,0,8,0,2010
9152,0.0,0,0,TB,0,0,0,00-0025392,L.Brown,ARI,T,0,0,0,False,0,0,0,0,0,8,0,2010
9153,0.0,0,0,SEA,0,0,0,00-0024201,H.Eugene,OAK,,0,0,0,True,0,0,0,0,0,8,0,2010
9154,0.0,0,0,OAK,0,0,0,00-0010373,O.Mare,SEA,,0,0,0,False,0,0,0,0,0,8,0,2010
9155,3.0,0,0,SEA,0,0,0,00-0027709,J.Ford,OAK,WR,2,0,22,True,1,0,11,0,0,8,0,2010
9156,20.0,0,0,SEA,27,2,310,00-0023460,J.Campbell,OAK,QB,0,0,0,True,4,0,4,0,0,8,0,2010
9157,0.0,0,0,SEA,0,0,0,00-0025425,Z.Miller,OAK,TE,1,0,8,True,0,0,0,0,0,8,0,2010
9158,3.0,0,0,OAK,0,0,0,00-0027891,G.Tate,SEA,WR,2,0,36,False,0,0,0,0,0,8,0,2010
